#{"t_start": 1769786612.2155337, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.29161
45.0,45,0.294503
17.0,17,0.29577
18.0,18,0.296945
18.0,18,0.299282
26.0,26,0.301131
15.0,15,0.302389
29.0,29,0.304318
14.0,14,0.306327
30.0,30,0.308491
39.0,39,0.311173
16.0,16,0.312302
18.0,18,0.31497
23.0,23,0.317134
63.0,63,0.321485
13.0,13,0.32246
22.0,22,0.325422
16.0,16,0.326678
13.0,13,0.327554
17.0,17,0.328677
15.0,15,0.330816
30.0,30,0.333016
27.0,27,0.335752
18.0,18,0.337044
20.0,20,0.340347
53.0,53,0.345264
12.0,12,0.346235
14.0,14,0.347264
32.0,32,0.350434
10.0,10,0.351307
59.0,59,0.355699
23.0,23,0.35724
34.0,34,0.360197
18.0,18,0.361623
12.0,12,0.36241
18.0,18,0.363565
16.0,16,0.365518
23.0,23,0.367929
15.0,15,0.369178
13.0,13,0.370393
28.0,28,0.373499
15.0,15,0.374523
18.0,18,0.375999
18.0,18,0.386815
9.0,9,0.398443
10.0,10,0.408769
12.0,12,0.41797
13.0,13,0.426437
11.0,11,0.438441
12.0,12,0.449702
11.0,11,0.459422
11.0,11,0.470658
11.0,11,0.481954
13.0,13,0.493159
12.0,12,0.501189
11.0,11,0.507772
13.0,13,0.521671
13.0,13,0.530725
13.0,13,0.541049
15.0,15,0.552359
13.0,13,0.562344
15.0,15,0.573061
20.0,20,0.586987
23.0,23,0.607625
22.0,22,0.627276
19.0,19,0.642766
15.0,15,0.656632
11.0,11,0.662463
16.0,16,0.677282
14.0,14,0.688464
11.0,11,0.697417
13.0,13,0.706782
11.0,11,0.716925
16.0,16,0.727761
15.0,15,0.736558
29.0,29,0.762676
16.0,16,0.777081
13.0,13,0.784737
15.0,15,0.796564
16.0,16,0.8075
16.0,16,0.820613
14.0,14,0.829131
18.0,18,0.845526
19.0,19,0.85692
39.0,39,0.885304
45.0,45,0.921535
33.0,33,0.955304
176.0,176,1.079224
206.0,206,1.230403
230.0,230,1.400995
144.0,144,1.524661
61.0,61,1.565828
78.0,78,1.636213
106.0,106,1.709481
142.0,142,1.828439
117.0,117,1.914286
44.0,44,1.956846
60.0,60,2.012439
74.0,74,2.06942
71.0,71,2.126318
52.0,52,2.173993
108.0,108,2.250584
97.0,97,2.321685
46.0,46,2.354312
35.0,35,2.377948
70.0,70,2.429697
86.0,86,2.492109
57.0,57,2.535816
37.0,37,2.565412
36.0,36,2.590779
77.0,77,2.640725
60.0,60,2.679961
61.0,61,2.72539
111.0,111,2.805171
113.0,113,2.886291
50.0,50,2.922578
46.0,46,2.954802
38.0,38,2.981881
40.0,40,3.00907
108.0,108,3.083457
74.0,74,3.136995
45.0,45,3.173978
51.0,51,3.209276
58.0,58,3.253433
40.0,40,3.297427
51.0,51,3.345701
72.0,72,3.407604
40.0,40,3.44207
48.0,48,3.480408
102.0,102,3.554249
46.0,46,3.588904
84.0,84,3.651333
55.0,55,3.692878
36.0,36,3.718469
56.0,56,3.755965
37.0,37,3.781295
60.0,60,3.833905
43.0,43,3.860202
59.0,59,3.913635
50.0,50,3.954635
128.0,128,4.043979
39.0,39,4.068003
39.0,39,4.095917
47.0,47,4.128643
89.0,89,4.191035
54.0,54,4.239764
36.0,36,4.26449
95.0,95,4.330084
29.0,29,4.355297
45.0,45,4.384292
41.0,41,4.410429
42.0,42,4.438501
55.0,55,4.476829
60.0,60,4.515357
45.0,45,4.545427
54.0,54,4.578477
52.0,52,4.61974
55.0,55,4.655913
39.0,39,4.684165
44.0,44,4.72124
45.0,45,4.756999
88.0,88,4.822858
59.0,59,4.866468
65.0,65,4.914624
54.0,54,4.957235
57.0,57,4.999341
53.0,53,5.038815
57.0,57,5.084343
48.0,48,5.120397
57.0,57,5.160959
52.0,52,5.207467
144.0,144,5.331239
49.0,49,5.379111
77.0,77,5.439613
61.0,61,5.485265
68.0,68,5.55122
79.0,79,5.619749
50.0,50,5.671678
56.0,56,5.74375
39.0,39,5.785897
61.0,61,5.847162
62.0,62,5.907426
56.0,56,5.95775
44.0,44,6.001132
49.0,49,6.036728
42.0,42,6.065403
43.0,43,6.09182
62.0,62,6.133088
64.0,64,6.176402
53.0,53,6.211144
40.0,40,6.240944
91.0,91,6.320112
53.0,53,6.374918
50.0,50,6.423583
43.0,43,6.458131
37.0,37,6.493845
32.0,32,6.53777
97.0,97,6.626089
55.0,55,6.682511
76.0,76,6.754653
49.0,49,6.801834
114.0,114,6.880155
40.0,40,6.912721
37.0,37,6.941125
47.0,47,6.975238
99.0,99,7.041768
44.0,44,7.070351
88.0,88,7.12751
46.0,46,7.161517
71.0,71,7.20703
54.0,54,7.24965
42.0,42,7.278509
149.0,149,7.386349
