#{"t_start": 1769786639.8647835, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.027463
12.0,12,0.033757
45.0,45,0.057944
23.0,23,0.068268
18.0,18,0.078818
13.0,13,0.085574
16.0,16,0.094328
13.0,13,0.100657
11.0,11,0.107156
13.0,13,0.113991
14.0,14,0.12451
12.0,12,0.129737
13.0,13,0.135976
15.0,15,0.142949
21.0,21,0.151408
11.0,11,0.1586
14.0,14,0.164818
20.0,20,0.174037
49.0,49,0.192845
15.0,15,0.203623
28.0,28,0.21498
11.0,11,0.220211
16.0,16,0.226814
51.0,51,0.246308
35.0,35,0.261087
23.0,23,0.270487
23.0,23,0.280328
42.0,42,0.299706
13.0,13,0.307237
29.0,29,0.323262
19.0,19,0.332242
22.0,22,0.343517
16.0,16,0.350979
81.0,81,0.393866
15.0,15,0.401261
14.0,14,0.409677
23.0,23,0.421328
17.0,17,0.430151
24.0,24,0.443295
31.0,31,0.460066
19.0,19,0.470002
22.0,22,0.481139
24.0,24,0.493096
22.0,22,0.503357
11.0,11,0.508472
22.0,22,0.518197
29.0,29,0.530816
28.0,28,0.542665
18.0,18,0.550069
19.0,19,0.557689
17.0,17,0.566161
25.0,25,0.579648
18.0,18,0.588572
59.0,59,0.617175
11.0,11,0.625119
18.0,18,0.632989
15.0,15,0.641258
50.0,50,0.662589
13.0,13,0.668151
15.0,15,0.6764
9.0,9,0.681014
21.0,21,0.690995
13.0,13,0.697653
11.0,11,0.703398
32.0,32,0.719599
16.0,16,0.728021
11.0,11,0.733638
17.0,17,0.742843
27.0,27,0.756559
13.0,13,0.763108
12.0,12,0.768601
9.0,9,0.773395
21.0,21,0.781304
19.0,19,0.789719
18.0,18,0.796813
16.0,16,0.804676
18.0,18,0.812895
11.0,11,0.817888
14.0,14,0.825153
13.0,13,0.835928
25.0,25,0.846931
10.0,10,0.851111
13.0,13,0.857274
13.0,13,0.863203
18.0,18,0.872063
11.0,11,0.877554
14.0,14,0.883662
15.0,15,0.89099
24.0,24,0.900794
51.0,51,0.924049
23.0,23,0.933647
31.0,31,0.947695
18.0,18,0.955219
25.0,25,0.965773
16.0,16,0.973012
21.0,21,0.98229
23.0,23,0.992907
22.0,22,1.003279
16.0,16,1.927431
67.0,67,1.972689
30.0,30,1.990064
40.0,40,2.012656
40.0,40,2.03718
23.0,23,2.049959
47.0,47,2.078144
32.0,32,2.096723
40.0,40,2.120174
19.0,19,2.13091
23.0,23,2.145211
12.0,12,2.150994
13.0,13,2.159606
58.0,58,2.191933
23.0,23,2.203638
55.0,55,2.231374
30.0,30,2.249231
28.0,28,2.267091
11.0,11,2.274199
42.0,42,2.29471
26.0,26,2.306405
30.0,30,2.319094
19.0,19,2.328286
58.0,58,2.352807
38.0,38,2.373018
29.0,29,2.38477
43.0,43,2.403292
17.0,17,2.411466
53.0,53,2.433138
53.0,53,2.46205
55.0,55,2.486208
23.0,23,2.49644
30.0,30,2.510472
27.0,27,2.522099
33.0,33,2.535134
25.0,25,2.549443
34.0,34,2.567472
39.0,39,2.585602
30.0,30,2.597572
14.0,14,2.604223
18.0,18,2.612371
28.0,28,2.624478
20.0,20,2.632298
29.0,29,2.645429
29.0,29,2.659857
13.0,13,2.667509
43.0,43,2.693516
40.0,40,2.714814
43.0,43,2.742733
43.0,43,2.76837
76.0,76,2.812607
29.0,29,2.830622
43.0,43,2.857939
11.0,11,2.862896
10.0,10,2.870039
36.0,36,2.892127
21.0,21,2.904505
45.0,45,2.928765
56.0,56,2.961305
26.0,26,2.975427
21.0,21,2.988391
85.0,85,3.966317
30.0,30,3.98082
19.0,19,3.991573
32.0,32,4.007433
27.0,27,4.019966
32.0,32,4.033742
20.0,20,4.043271
26.0,26,4.054302
23.0,23,4.064387
21.0,21,4.07352
20.0,20,4.083489
43.0,43,4.103029
38.0,38,4.121819
28.0,28,4.13455
79.0,79,4.172471
65.0,65,4.19831
60.0,60,4.231042
52.0,52,4.25503
45.0,45,4.274861
10.0,10,4.279302
29.0,29,4.294187
139.0,139,4.369128
49.0,49,4.394315
53.0,53,4.422043
88.0,88,4.468497
31.0,31,4.486035
26.0,26,4.499708
25.0,25,4.513458
45.0,45,4.541903
30.0,30,4.558527
13.0,13,4.565531
24.0,24,4.578762
38.0,38,4.598516
10.0,10,4.604663
34.0,34,4.623836
11.0,11,4.62968
98.0,98,4.683718
23.0,23,4.697947
13.0,13,4.707094
23.0,23,4.719325
21.0,21,4.730902
19.0,19,4.74218
15.0,15,4.752508
35.0,35,4.771844
141.0,141,4.843884
98.0,98,4.900271
20.0,20,4.911718
39.0,39,4.931312
21.0,21,4.941545
34.0,34,4.95563
39.0,39,4.976274
28.0,28,5.01271
111.0,111,6.171701
44.0,44,6.197768
60.0,60,6.238761
57.0,57,6.27678
94.0,94,6.333553
82.0,82,6.37814
78.0,78,6.418242
45.0,45,6.442339
86.0,86,6.487971
66.0,66,6.523055
65.0,65,6.558769
126.0,126,6.630964
123.0,123,6.698963
23.0,23,6.71243
88.0,88,6.778552
87.0,87,6.826878
18.0,18,6.836102
42.0,42,6.855212
18.0,18,6.862951
83.0,83,6.906527
30.0,30,6.923319
44.0,44,6.947108
23.0,23,6.960171
40.0,40,6.982603
41.0,41,7.00643
155.0,155,7.094276
31.0,31,7.11424
67.0,67,7.144429
115.0,115,7.197827
68.0,68,7.235614
35.0,35,7.255835
211.0,211,8.314077
175.0,175,8.40358
77.0,77,8.446152
149.0,149,8.530986
25.0,25,8.545885
73.0,73,8.580277
63.0,63,8.614976
265.0,265,8.750689
124.0,124,8.81957
19.0,19,8.829666
29.0,29,8.84632
380.0,380,9.061998
168.0,168,9.151234
199.0,199,9.260283
